44800,43800,42800,41800,40800,39800,40300,41200,42100,43000,43900,44800,44800,43900,43000,42100,41200,40300,40500,41400,15250,14350,13450,12550,11650,10750,9850,8950,8050,7150,6250,5350,4450,4450,5350,6250,7150,8050,8950,9850,-23350,-24250,-25150,-26050,-26950,-27850,-28750,-29650,-30550,-31450,-32350,-33250,-34150,-34050,-33150,-32250,-31350,-30450,-29550,-28650,-27850,-28750,-29650,-30550,-31450,-32350,-33250,-33250,-32350,-31450,-30550,-29650,-28750,-27850,-26950,-26050,-25150,-24250,-23350,-22450,9850,8950,8050,7150,6250,5350,4450,4450,5350,6250,7150,8050,8950,9850,10750,11650,12550,13450,14350,15250,43900,43900,43900,43900,43900,43900,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,34250,33350,32450,31550,30650,29750,28850,27950,27050,26150,-3550,-4450,-5350,-6250,-7150,-8050,-8950,-9850,-10750,-11650,-40450,-41350,-42250,-43150,-44050,-44950,-44950,-44050,-43150,-42250
-28670,-28670,-28670,-28670,-28670,-28670,-27670,-27670,-27670,-27670,-27670,-27670,-26770,-26770,-26770,-26770,-26770,-26770,-25870,-25870,-30000,-30000,-30000,-30000,-30000,-30000,-30000,-30000,-30000,-30000,-30000,-30000,-30000,-29100,-29100,-29100,-29100,-29100,-29100,-29100,-29500,-29500,-29500,-29500,-29500,-29500,-29500,-29500,-29500,-29500,-29500,-29500,-29500,-28600,-28600,-28600,-28600,-28600,-28600,-28600,10030,10030,10030,10030,10030,10030,10030,9130,9130,9130,9130,9130,9130,9130,9130,9130,9130,9130,9130,9130,10000,10000,10000,10000,10000,10000,10000,9100,9100,9100,9100,9100,9100,9100,9100,9100,9100,9100,9100,9100,7630,6730,5830,4930,4030,3130,3130,4030,4930,5830,6730,7630,8530,9430,10330,11230,12130,13030,13930,14830,-9770,-9770,-9770,-9770,-9770,-9770,-9770,-9770,-9770,-9770,-9770,-9770,-9770,-9770,-9770,-9770,-9770,-9770,-9770,-9770,-9770,-9770,-9770,-9770,-9770,-9770,-8870,-8870,-8870,-8870
4014.1,4022.8,4032.9,4045.2,4060.9,4078.5,4073.1,4058,4045.2,4035.5,4027.3,4020.5,4025,4030.3,4038,4047.3,4059.1,4071.2,4069.7,4069.7,4094.6,4081.5,4070.7,4063.7,4059.4,4057.2,4056.9,4058.6,4061.3,4066.7,4073.2,4082,4092.5,4094.2,4084.3,4075.5,4068.5,4063.3,4060,4060,4130.9,4120.6,4113.2,4107.7,4104.2,4102.4,4102.2,4103.9,4107.2,4111.9,4118.7,4127.9,4140.3,4142.7,4131.6,4122.9,4115.9,4111,4108.4,4108.4,4250.9,4250.9,4252.2,4253.9,4257,4260.5,4265.2,4261.9,4257.4,4253.4,4251.2,4249.5,4247.9,4247.3,4247.2,4247.9,4249.7,4251.8,4254.8,4259.2,4167.1,4167.1,4170.4,4173.4,4177.9,4181.9,4186.7,4185.8,4180.1,4175.3,4171.3,4168.2,4165.2,4163.1,4161.1,4159.6,4159.6,4160.7,4163.6,4167.6,4084.1,4084.1,4084.8,4086.9,4091,4095.9,4094.3,4088.2,4084,4081.8,4079.9,4079.6,4080,4081.2,4082.6,4084.8,4088.3,4093.6,4101.3,4110.8,4086.4,4086.2,4077.6,4076.5,4083.6,4078.8,4088.6,4091.5,4095.1,4099.3,4165.4,4161.6,4159.3,4158.7,4159.4,4160.9,4162.8,4164.6,4167.1,4170.2,4234.9,4232.5,4227.4,4224.1,4221.4,4219.6,4223.4,4226.2,4228,4230.8
7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559
