48391,48391,44340,44340,46365,50417,52000,52000,50417,46365,42314,40288,40288,42314,29496,29496,25445,25445,27470,31522,33548,33548,31522,27470,23419,21393,21393,23419,10601,10601,6550,6550,8575,12627,14653,14653,12627,8575,4524,2498,2498,4524,-8294,-8294,-12345,-12345,-10320,-6268,-4242,-4242,-6268,-10320,-14371,-16397,-16397,-14371,-27189,-27189,-31240,-31240,-29215,-25163,-23137,-23137,-25163,-29215,-33266,-35292,-35292,-33266,-46084,-46084,-50135,-50135,-48110,-44058,-42032,-42032,-44058,-48110,-52000,-52000,-52000,-52000,-46119,-46119,-50170,-50170,-48145,-44093,-42067,-42067,-44093,-48145,-52000,-52000,-52000,-52000,-27224,-27224,-31275,-31275,-29250,-25198,-23172,-23172,-25198,-29250,-33301,-35327,-35327,-33301,-8329,-8329,-12380,-12380,-10355,-6303,-4277,-4277,-6303,-10355,-14406,-16432,-16432,-14406,10566,10566,6515,6515,8540,12592,14618,14618,12592,8540,4489,2463,2463,4489,29461,29461,25410,25410,27435,31487,33513,33513,31487,27435,23384,21358,21358,23384,48356,48356,44305,44305,46330,50382,52000,52000,50382,46330,42279,40253,40253,42279,48391,48391,44340,44340,46365,50417,52000,52000,50417,46365,42314,40288,40288,42314,29496,29496,25445,25445,27470,31522,33548,33548,31522,27470,23419,21393,21393,23419,10601,10601,6550,6550,8575,12627,14653,14653,12627,8575,4524,2498,2498,4524,-8294,-8294,-12345,-12345,-10320,-6268,-4242,-4242,-6268,-10320,-14371,-16397,-16397,-14371,-27189,-27189,-31240,-31240,-29215,-25163,-23137,-23137,-25163,-29215,-33266,-35292,-35292,-33266,-46084,-46084,-50135,-50135,-48110,-44058,-42032,-42032,-44058,-48110,-52000,-52000,-52000,-52000,-46119,-46119,-50170,-50170,-48145,-44093,-42067,-42067,-44093,-48145,-52000,-52000,-52000,-52000,-27224,-27224,-31275,-31275,-29250,-25198,-23172,-23172,-25198,-29250,-33301,-35327,-35327,-33301,-8329,-8329,-12380,-12380,-10355,-6303,-4277,-4277,-6303,-10355,-14406,-16432,-16432,-14406,10566,10566,6515,6515,8540,12592,14618,14618,12592,8540,4489,2463,2463,4489,29461,29461,25410,25410,27435,31487,33513,33513,31487,27435,23384,21358,21358,23384,48356,48356,44305,44305,46330,50382,52000,52000,50382,46330,42279,40253,40253,42279
-26935,-30564,-30564,-26935,-23307,-23307,-26935,-30564,-34192,-34192,-34192,-30564,-26935,-23307,-26938,-30567,-30567,-26938,-23310,-23310,-26938,-30567,-34195,-34195,-34195,-30567,-26938,-23310,-26941,-30570,-30570,-26941,-23313,-23313,-26941,-30570,-34198,-34198,-34198,-30570,-26941,-23313,-26944,-30573,-30573,-26944,-23316,-23316,-26944,-30573,-34201,-34201,-34201,-30573,-26944,-23316,-26947,-30576,-30576,-26947,-23319,-23319,-26947,-30576,-34204,-34204,-34204,-30576,-26947,-23319,-26950,-30579,-30579,-26950,-23322,-23322,-26950,-30579,-34207,-34207,-34207,-30579,-26950,-23322,-8063,-11692,-11692,-8063,-4435,-4435,-8063,-11692,-15320,-15320,-15320,-11692,-8063,-4435,-8060,-11689,-11689,-8060,-4432,-4432,-8060,-11689,-15317,-15317,-15317,-11689,-8060,-4432,-8057,-11686,-11686,-8057,-4429,-4429,-8057,-11686,-15314,-15314,-15314,-11686,-8057,-4429,-8054,-11683,-11683,-8054,-4426,-4426,-8054,-11683,-15311,-15311,-15311,-11683,-8054,-4426,-8051,-11680,-11680,-8051,-4423,-4423,-8051,-11680,-15308,-15308,-15308,-11680,-8051,-4423,-8048,-11677,-11677,-8048,-4420,-4420,-8048,-11677,-15305,-15305,-15305,-11677,-8048,-4420,10839,7210,7210,10839,14467,14467,10839,7210,3582,3582,3582,7210,10839,14467,10836,7207,7207,10836,14464,14464,10836,7207,3579,3579,3579,7207,10836,14464,10833,7204,7204,10833,14461,14461,10833,7204,3576,3576,3576,7204,10833,14461,10830,7201,7201,10830,14458,14458,10830,7201,3573,3573,3573,7201,10830,14458,10827,7198,7198,10827,14455,14455,10827,7198,3570,3570,3570,7198,10827,14455,10824,7195,7195,10824,14452,14452,10824,7195,3567,3567,3567,7195,10824,14452,29711,26082,26082,29711,33339,33339,29711,26082,22454,22454,22454,26082,29711,33339,29714,26085,26085,29714,33342,33342,29714,26085,22457,22457,22457,26085,29714,33342,29717,26088,26088,29717,33345,33345,29717,26088,22460,22460,22460,26088,29717,33345,29720,26091,26091,29720,33348,33348,29720,26091,22463,22463,22463,26091,29720,33348,29723,26094,26094,29723,33351,33351,29723,26094,22466,22466,22466,26094,29723,33351,29726,26097,26097,29726,33354,33354,29726,26097,22469,22469,22469,26097,29726,33354
4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180
3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800
