48397,48397,44334,44334,46365,50428,52000,52000,50428,46365,42303,40272,40272,42303,29502,29502,25439,25439,27470,31533,33564,33564,31533,27470,23408,21377,21377,23408,10607,10607,6544,6544,8575,12638,14669,14669,12638,8575,4513,2482,2482,4513,-8288,-8288,-12351,-12351,-10320,-6257,-4226,-4226,-6257,-10320,-14382,-16413,-16413,-14382,-27183,-27183,-31246,-31246,-29215,-25152,-23121,-23121,-25152,-29215,-33277,-35308,-35308,-33277,-46078,-46078,-50141,-50141,-48110,-44047,-42016,-42016,-44047,-48110,-52000,-52000,-52000,-52000,-46113,-46113,-50176,-50176,-48145,-44082,-42051,-42051,-44082,-48145,-52000,-52000,-52000,-52000,-27218,-27218,-31281,-31281,-29250,-25187,-23156,-23156,-25187,-29250,-33312,-35343,-35343,-33312,-8323,-8323,-12386,-12386,-10355,-6292,-4261,-4261,-6292,-10355,-14417,-16448,-16448,-14417,10572,10572,6509,6509,8540,12603,14634,14634,12603,8540,4478,2447,2447,4478,29467,29467,25404,25404,27435,31498,33529,33529,31498,27435,23373,21342,21342,23373,48362,48362,44299,44299,46330,50393,52000,52000,50393,46330,42268,40237,40237,42268,48397,48397,44334,44334,46365,50428,52000,52000,50428,46365,42303,40272,40272,42303,29502,29502,25439,25439,27470,31533,33564,33564,31533,27470,23408,21377,21377,23408,10607,10607,6544,6544,8575,12638,14669,14669,12638,8575,4513,2482,2482,4513,-8288,-8288,-12351,-12351,-10320,-6257,-4226,-4226,-6257,-10320,-14382,-16413,-16413,-14382,-27183,-27183,-31246,-31246,-29215,-25152,-23121,-23121,-25152,-29215,-33277,-35308,-35308,-33277,-46078,-46078,-50141,-50141,-48110,-44047,-42016,-42016,-44047,-48110,-52000,-52000,-52000,-52000,-46113,-46113,-50176,-50176,-48145,-44082,-42051,-42051,-44082,-48145,-52000,-52000,-52000,-52000,-27218,-27218,-31281,-31281,-29250,-25187,-23156,-23156,-25187,-29250,-33312,-35343,-35343,-33312,-8323,-8323,-12386,-12386,-10355,-6292,-4261,-4261,-6292,-10355,-14417,-16448,-16448,-14417,10572,10572,6509,6509,8540,12603,14634,14634,12603,8540,4478,2447,2447,4478,29467,29467,25404,25404,27435,31498,33529,33529,31498,27435,23373,21342,21342,23373,48362,48362,44299,44299,46330,50393,52000,52000,50393,46330,42268,40237,40237,42268
-27043,-30456,-30456,-27043,-23631,-23631,-27043,-30456,-33868,-33868,-33868,-30456,-27043,-23631,-27046,-30459,-30459,-27046,-23634,-23634,-27046,-30459,-33871,-33871,-33871,-30459,-27046,-23634,-27049,-30462,-30462,-27049,-23637,-23637,-27049,-30462,-33874,-33874,-33874,-30462,-27049,-23637,-27052,-30465,-30465,-27052,-23640,-23640,-27052,-30465,-33877,-33877,-33877,-30465,-27052,-23640,-27055,-30468,-30468,-27055,-23643,-23643,-27055,-30468,-33880,-33880,-33880,-30468,-27055,-23643,-27058,-30471,-30471,-27058,-23646,-23646,-27058,-30471,-33883,-33883,-33883,-30471,-27058,-23646,-8171,-11584,-11584,-8171,-4759,-4759,-8171,-11584,-14996,-14996,-14996,-11584,-8171,-4759,-8168,-11581,-11581,-8168,-4756,-4756,-8168,-11581,-14993,-14993,-14993,-11581,-8168,-4756,-8165,-11578,-11578,-8165,-4753,-4753,-8165,-11578,-14990,-14990,-14990,-11578,-8165,-4753,-8162,-11575,-11575,-8162,-4750,-4750,-8162,-11575,-14987,-14987,-14987,-11575,-8162,-4750,-8159,-11572,-11572,-8159,-4747,-4747,-8159,-11572,-14984,-14984,-14984,-11572,-8159,-4747,-8156,-11569,-11569,-8156,-4744,-4744,-8156,-11569,-14981,-14981,-14981,-11569,-8156,-4744,10731,7318,7318,10731,14143,14143,10731,7318,3906,3906,3906,7318,10731,14143,10728,7315,7315,10728,14140,14140,10728,7315,3903,3903,3903,7315,10728,14140,10725,7312,7312,10725,14137,14137,10725,7312,3900,3900,3900,7312,10725,14137,10722,7309,7309,10722,14134,14134,10722,7309,3897,3897,3897,7309,10722,14134,10719,7306,7306,10719,14131,14131,10719,7306,3894,3894,3894,7306,10719,14131,10716,7303,7303,10716,14128,14128,10716,7303,3891,3891,3891,7303,10716,14128,29603,26190,26190,29603,33015,33015,29603,26190,22778,22778,22778,26190,29603,33015,29606,26193,26193,29606,33018,33018,29606,26193,22781,22781,22781,26193,29606,33018,29609,26196,26196,29609,33021,33021,29609,26196,22784,22784,22784,26196,29609,33021,29612,26199,26199,29612,33024,33024,29612,26199,22787,22787,22787,26199,29612,33024,29615,26202,26202,29615,33027,33027,29615,26202,22790,22790,22790,26202,29615,33027,29618,26205,26205,29618,33030,33030,29618,26205,22793,22793,22793,26205,29618,33030
4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180
3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800
