44800,43800,42800,41800,40800,39800,40300,41200,42100,42100,43000,43900,44800,44800,43900,43000,42100,41200,40300,40500,16150,15250,14350,13450,12550,11650,10750,9850,8950,8050,7150,6250,5350,4450,4450,5350,6250,7150,8050,8950,-22450,-23350,-24250,-25150,-26050,-26950,-27850,-28750,-29650,-30550,-31450,-32350,-33250,-34150,-34050,-33150,-32250,-31350,-30450,-29550,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,43900,43900,43900,43900,43900,16150,15250,14350,13450,12550,11650,10750,9850,8950,8050,7150,6250,5350,4450,4450,5350,6250,7150,8050,8950,-21550,-22450,-23350,-24250,-25150,-26050,-26950,-27850,-28750,-29650,-30550,-31450,-32350,-33250,-33250,-32350,-31450,-30550,-29650,-28750,34250,33350,32450,31550,30650,29750,28850,27950,27050,26150,-3550,-4450,-5350,-6250,-7150,-8050,-8950,-9850,-10750,-11650,-40450,-41350,-42250,-43150,-44050,-44950,-44950,-44050,-43150,-42250,34950,34050,33150,32250,31350,30450,29550,28650,27750,26850,-2850,-3750,-4650,-5550,-6450,-7350,-8250,-9150,-10050,-10950,-40650,-41550,-42450,-43350,-44250,-44250,-43350,-42450,-41550,-40650,-42000,-44000,-45000,-43000
-28670,-28670,-28670,-28670,-28670,-28670,-27670,-27670,-27670,-27670,-27670,-27670,-27670,-26770,-26770,-26770,-26770,-26770,-26770,-25870,-30000,-30000,-30000,-30000,-30000,-30000,-30000,-30000,-30000,-30000,-30000,-30000,-30000,-30000,-29100,-29100,-29100,-29100,-29100,-29100,-29500,-29500,-29500,-29500,-29500,-29500,-29500,-29500,-29500,-29500,-29500,-29500,-29500,-29500,-28600,-28600,-28600,-28600,-28600,-28600,15730,14830,13930,13030,12130,11230,10330,9430,8530,7630,6730,5830,4930,4030,3130,3130,4030,4930,5830,6730,9100,9100,9100,9100,9100,9100,9100,9100,9100,9100,9100,9100,9100,9100,10000,10000,10000,10000,10000,10000,9130,9130,9130,9130,9130,9130,9130,9130,9130,9130,9130,9130,9130,9130,10030,10030,10030,10030,10030,10030,-9770,-9770,-9770,-9770,-9770,-9770,-9770,-9770,-9770,-9770,-9770,-9770,-9770,-9770,-9770,-9770,-9770,-9770,-9770,-9770,-9770,-9770,-9770,-9770,-9770,-9770,-8870,-8870,-8870,-8870,26230,26230,26230,26230,26230,26230,26230,26230,26230,26230,26230,26230,26230,26230,26230,26230,26230,26230,26230,26230,26230,26230,26230,26230,26230,27130,27130,27130,27130,27130,-26754.8,-26754.8,-24754.8,-24754.8
4014.1,4022.8,4032.9,4045.225,4060.85,4078.525,4073.075,4057.975,4045.2,4045.2,4035.525,4027.325,4020.525,4024.975,4030.25,4037.95,4047.3,4059.125,4071.175,4069.725,4111.125,4094.55,4081.45,4070.7,4063.7,4059.425,4057.15,4056.9,4058.6,4061.325,4066.65,4073.2,4081.95,4092.45,4094.15,4084.275,4075.525,4068.5,4063.325,4059.95,4143.475,4130.875,4120.55,4113.2,4107.725,4104.2,4102.375,4102.225,4103.85,4107.2,4111.9,4118.7,4127.875,4140.25,4142.7,4131.55,4122.875,4115.9,4110.975,4108.35,4123.3,4110.775,4101.3,4093.575,4088.325,4084.8,4082.55,4081.15,4080,4079.6,4079.925,4081.825,4084,4088.175,4094.25,4095.925,4090.95,4086.85,4084.8,4084.05,4172.725,4167.55,4163.55,4160.65,4159.55,4159.6,4161.05,4163.125,4165.175,4168.225,4171.325,4175.275,4180.1,4185.75,4186.725,4181.85,4177.9,4173.4,4170.45,4167.05,4261.775,4259.2,4254.775,4251.775,4249.725,4247.9,4247.2,4247.325,4247.925,4249.525,4251.2,4253.45,4257.4,4261.9,4265.15,4260.475,4257,4253.9,4252.175,4250.95,4086.35,4086.2,4077.575,4076.525,4083.6,4078.8,4088.575,4091.5,4095.1,4099.3,4165.425,4161.625,4159.275,4158.65,4159.375,4160.95,4162.775,4164.575,4167.05,4170.2,4234.85,4232.475,4227.4,4224.1,4221.375,4219.625,4223.425,4226.175,4227.975,4230.8,4177.225,4166.075,4156.95,4150.325,4146.675,4144.9,4144.85,4146.5,4149.1,4154.025,4281.075,4273.3,4266.1,4260.25,4257.25,4255.975,4254.1,4254.775,4256.875,4259.275,4370.65,4363.2,4356.475,4351.9,4348.225,4349.825,4354.225,4359.35,4366.75,4382.375,4181.225,4165.975,4178,4185.525
7559,7559,7559,7559,7559,7559,7600,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559,7559
