13796,-15464,6000,1150
13796,-12464,6000,1150
10796,-12464,6000,1150
10796,-15464,6000,1150
4769.6,-15482,6000,1180
4769.6,-12482,6000,1180
1769.6,-12482,6000,1180
1769.6,-15482,6000,1180
-4256.8,-15501,6000,1800
-4256.8,-12501,6000,1800
-7256.8,-12501,6000,1800
-7256.8,-15501,6000,1800
13782,-6449.9,6000,1200
13782,-3449.9,6000,1200
10782,-3449.9,6000,1200
10782,-6449.9,6000,1200
4755.3,-6468.1,6000,1100
4755.3,-3468.1,6000,1100
1755.3,-3468.1,6000,1100
1755.3,-6468.1,6000,1100
-4271,-6486.2,6000,1870
-4271,-3486.2,6000,1870
-7271,-3486.2,6000,1870
-7271,-6486.2,6000,1870
