13796,-15464,6000,1200
13796,-12464,6000,1200
10796,-12464,6000,1200
10796,-15464,6000,1200
4769.6,-15482,6000,1020
4769.6,-12482,6000,1020
1769.6,-12482,6000,1020
1769.6,-15482,6000,1020
-4256.8,-15501,6000,1720
-4256.8,-12501,6000,1720
-7256.8,-12501,6000,1720
-7256.8,-15501,6000,1720
13782,-6449.9,6000,1140
13782,-3449.9,6000,1140
10782,-3449.9,6000,1140
10782,-6449.9,6000,1140
4755.3,-6468.1,6000,1010
4755.3,-3468.1,6000,1010
1755.3,-3468.1,6000,1010
1755.3,-6468.1,6000,1010
-4271,-6486.2,6000,1660
-4271,-3486.2,6000,1660
-7271,-3486.2,6000,1660
-7271,-6486.2,6000,1660
