13796,-14264,6000,2206
13796,-11264,6000,2206
10796,-11264,6000,2206
10796,-14264,6000,2206
4769.6,-14282,6000,2100
4769.6,-11282,6000,2100
1769.6,-11282,6000,2100
1769.6,-14282,6000,2100
-4256.8,-14301,6000,1980
-4256.8,-11301,6000,1980
-7256.8,-11301,6000,1980
-7256.8,-14301,6000,1980
-13283,-14319,6000,2270
-13283,-11319,6000,2270
-16283,-11319,6000,2270
-16283,-14319,6000,2270
-13297,-5304.4,6000,2230
-13297,-2304.4,6000,2230
-16297,-2304.4,6000,2230
-16297,-5304.4,6000,2230
-4271,-5286.2,6000,2150
-4271,-2286.2,6000,2150
-7271,-2286.2,6000,2150
-7271,-5286.2,6000,2150
4755.3,-5268.1,6000,1960
4755.3,-2268.1,6000,1960
1755.3,-2268.1,6000,1960
1755.3,-5268.1,6000,1960
13782,-5249.9,6000,2180
13782,-2249.9,6000,2180
10782,-2249.9,6000,2180
10782,-5249.9,6000,2180
13767,3764.4,6000,2000
13767,6764.4,6000,2000
10767,6764.4,6000,2000
10767,3764.4,6000,2000
4741,3746.2,6000,2260
4741,6746.2,6000,2260
1741,6746.2,6000,2260
1741,3746.2,6000,2260
